title	test	control	pair
DF vs Convalescent	(ExtendedClass, 'DF')	(ExtendedClass, 'Convalescent')	
DHF vs Convalescent	(ExtendedClass, 'DHF')	(ExtendedClass, 'Convalescent')	
DF vs Healthy	(ExtendedClass, 'DF')	(ExtendedClass, 'Healthy')	
DHF vs Healthy	(ExtendedClass, 'DHF')	(ExtendedClass, 'Healthy')	
Convalescent vs Healthy	(ExtendedClass, 'Convalescent')	(ExtendedClass, 'Healthy')	
DHF vs Control	(ExtendedClass, 'DHF')	(Class, 'Control')	
DF vs Control	(ExtendedClass, 'DF')	(Class, 'Control')	
DHF vs DF	(ExtendedClass, 'DHF')	(ExtendedClass, 'DF')	
Dengue vs Convalescent	(Class, 'Dengue')	(ExtendedClass, 'Convalescent')	
Dengue vs Healthy	(Class, 'Dengue')	(ExtendedClass, 'Healthy')	
Dengue vs Control	(Class, 'Dengue')	(Class, 'Control')	
EarlyDengue vs Control	(Class, 'Dengue') AND (Stage, 'Early')	(Class, 'Control')	
LateDengue vs Control	(Class, 'Dengue') AND (Stage, 'Late')	(Class, 'Control')	
